Designator,Mid X,Mid Y,Layer,Rotation
C1,16.125000,9.200000,top,-90.000000
C2,35.560000,11.850000,top,-90.000000
C3,33.790000,11.670000,top,-90.000000
C4,49.060000,7.960000,top,-90.000000
C5,59.280000,19.260000,top,0.000000
C6,23.265000,44.485000,top,-90.000000
C7,40.770000,5.410000,top,0.000000
C8,49.910000,17.925000,top,90.000000
C9,53.880000,19.200000,top,90.000000
C10,11.342391,96.652609,top,0.000000
C11,25.090000,44.310000,top,-90.000000
C12,64.855000,93.150000,top,90.000000
C13,59.980000,93.150000,top,90.000000
C14,58.305000,93.000000,top,90.000000
C15,51.688750,32.980000,top,-90.000000
C16,53.358750,32.810000,top,-90.000000
C17,45.978750,32.980000,top,-90.000000
C18,44.168750,32.840000,top,-90.000000
C19,33.230000,77.120000,top,-90.000000
C20,23.280000,48.570000,top,90.000000
C21,25.140000,48.780000,top,90.000000
C22,81.830000,74.240000,top,-90.000000
C23,81.850000,59.850000,top,-90.000000
C24,81.830000,77.550000,top,90.000000
C25,81.850000,63.110000,top,90.000000
C26,75.820000,85.340000,top,90.000000
C27,75.640000,82.290000,top,90.000000
C28,75.750000,70.980000,top,90.000000
C29,75.750000,67.910000,top,90.000000
C30,70.450000,75.080000,top,0.000000
C31,70.380000,60.690000,top,0.000000
C32,75.940000,75.210000,top,0.000000
C33,75.970000,60.830000,top,0.000000
C34,76.130000,73.350000,top,0.000000
C35,76.160000,59.110000,top,0.000000
C36,81.800000,45.690000,top,-90.000000
C37,81.700000,31.510000,top,-90.000000
C38,81.800000,49.030000,top,90.000000
C39,81.700000,34.750000,top,90.000000
C40,75.300000,56.770000,top,90.000000
C41,75.290000,42.480000,top,90.000000
C42,75.300000,53.600000,top,90.000000
C43,75.300000,39.430000,top,90.000000
C44,70.530000,46.400000,top,0.000000
C45,70.460000,32.180000,top,0.000000
C46,75.810000,46.730000,top,0.000000
C47,75.690000,32.570000,top,0.000000
C48,76.000000,45.020000,top,0.000000
C49,75.900000,30.810000,top,0.000000
C50,28.680000,74.450000,top,90.000000
C51,52.920000,27.190000,top,-90.000000
C52,51.330000,27.340000,top,-90.000000
C53,45.942500,27.340000,top,-90.000000
C54,44.302500,27.170000,top,-90.000000
C55,80.060000,18.110000,top,90.000000
C56,78.440000,17.960000,top,90.000000
C57,65.200000,80.660000,top,90.000000
C58,63.590000,80.490000,top,90.000000
C59,63.890000,74.370000,top,-90.000000
